sponsor_id,company_name,industry,sponsorship_deals,contract_value,contract_duration,advertising_channels,location,contact_email,phone_number,website
29,Toyota Africa,Automotive,Transport sponsor for major African football tournaments,100000000.0,2021-2031,"TV, Social Media, Stadium Branding","Lagos, Nigeria",support@toyota-africa.com,+234 1 280 1234,https://www.toyota-global.com/
30,Betway Africa,Sports Betting,Main sponsor of multiple African football leagues,60000000.0,2018-2028,"TV, Online, Betting Platforms","Accra, Ghana",support@betway.com,+233 30 274 0661,https://www.betway.com/
31,Vodacom,Telecommunications,Official sponsor of PSL (Premier Soccer League) in South Africa,95000000.0,2019-2029,"TV, Digital, Print, Stadium Naming Rights","Johannesburg, South Africa",info@vodacom.com,+27 11 653 5000,https://www.vodacom.com/
32,Heineken,Beverages,Official beer sponsor of UEFA Champions League and African football events,180000000.0,2017-2030,"TV, Digital, Print, Stadium Branding","Amsterdam, Netherlands",contact@heineken.com,+31 20 523 9239,https://www.heineken.com/
33,Emirates,Airline & Travel,Official airline partner for top African and European football clubs,250000000.0,2015-2035,"TV, In-flight Ads, Social Media, Stadium Branding","Dubai, UAE",info@emirates.com,+971 4 708 1111,https://www.emirates.com/
34,MultiChoice (DStv),Media & Entertainment,Broadcast partner for CAF and local leagues across Africa,125000000.0,2020-2030,"TV, Online, Print Media","Johannesburg, South Africa",support@multichoice.com,+27 11 289 2222,https://www.multichoice.com/
35,Nike Africa,Sports Apparel,Official kit supplier for national and club teams across Africa,200000000.0,2021-2031,"Retail, Digital, Stadium Branding","Cape Town, South Africa",africa@nike.com,+27 21 550 4500,https://www.nike.com/
36,Shell Africa,Energy & Petroleum,Sponsor of African grassroots football initiatives,50000000.0,2022-2027,"TV, Digital, Outdoor Advertising","Lagos, Nigeria",contact@shell.com,+234 1 280 1234,https://www.shell.com/
37,Huawei Africa,Technology & Telecommunications,Tech partner for African sports analytics and data solutions,70000000.0,2021-2030,"TV, Social Media, Event Sponsorships","Johannesburg, South Africa",support@huawei.com,+27 11 555 5555,https://www.huawei.com/
38,Guinness,Beverages,Official sponsor of African football leagues and Guinness Night Football,95000000.0,2018-2029,"TV, Online, Social Media, Stadium Branding","Dublin, Ireland",info@guinness.com,+353 1 453 6700,https://www.guinness.com/
39,Samsung,Technology & Electronics,Tech partner for VR football experiences and smart stadiums,180000000.0,2020-2035,"TV, Online, Social Media, Stadium Branding","Seoul, South Korea",support@samsung.com,+82 2 2053 3000,https://www.samsung.com/
40,KFC Africa,Fast Food & Restaurants,Official fast food partner of African youth football tournaments,50000000.0,2022-2028,"TV, Digital, In-store Promotions","Johannesburg, South Africa",info@kfc.co.za,+27 11 553 5555,https://www.kfc.co.za/
41,BMW Africa,Automotive,Official mobility partner for African football federations,100000000.0,2021-2031,"TV, Social Media, Stadium Branding","Lagos, Nigeria",support@bmw-africa.com,+234 1 280 5678,https://www.bmw.com/
42,TotalEnergies CAF Partnership,Energy & Petroleum,Title sponsor of CAF competitions,180000000.0,2017-2028,"TV, Digital, Print, Event Sponsorships","Paris, France",corporate@totalenergies.com,+33 1 47 44 45 46,https://www.totalenergies.com/
43,Bet9ja,Sports Betting,Main sponsor of Nigerian football leagues,60000000.0,2020-2027,"TV, Social Media, Digital Ads","Lagos, Nigeria",support@bet9ja.com,+234 700 238 9253,https://www.bet9ja.com/
44,Etisalat Africa,Telecommunications,Official sponsor of African football federations,85000000.0,2018-2028,"TV, Digital, Stadium Ads","Abu Dhabi, UAE",info@etisalat.africa,+971 2 618 8888,https://www.etisalat.com/
45,Castle Lager,Beverages,Official beer sponsor of South African football,50000000.0,2021-2030,"TV, Social Media, Stadium Branding","Johannesburg, South Africa",info@castlelager.co.za,+27 11 880 2333,https://www.castlelager.co.za/
46,Standard Chartered Bank,Banking & Financial Services,Official financial partner for African football initiatives,75000000.0,2020-2030,"TV, Online Banking Ads, Event Partnerships","London, UK",support@sc.com,+44 20 7885 8888,https://www.sc.com/
47,Air Mauritius,Airline & Travel,Official airline partner for African football clubs and teams,45000000.0,2022-2032,"TV, Digital, Airport Branding","Port Louis, Mauritius",support@airmauritius.com,+230 207 7070,https://www.airmauritius.com/
48,FNB (First National Bank),Banking & Financial Services,Title sponsor of the FNB Stadium and football tournaments,95000000.0,2019-2030,"TV, Digital, Stadium Naming Rights","Johannesburg, South Africa",info@fnb.co.za,+27 11 371 3711,https://www.fnb.co.za/
49,Aspire Academy,Football Development & Education,Sponsor of African youth football programs,40000000.0,2017-2027,"TV, Digital, Event Sponsorships","Doha, Qatar",info@aspire.qa,+974 4413 6000,https://www.aspire.qa/
50,StarTimes,Media & Entertainment,Broadcast partner for CAF competitions and African leagues,110000000.0,2018-2028,"TV, Online, Print Media","Beijing, China",support@startimes.com,+86 10 8575 1111,https://www.startimes.com/
51,Red Bull Africa,Beverages,Sponsor of African extreme sports and youth football initiatives,125000000.0,2019-2030,"TV, Social Media, Stadium Branding","Cape Town, South Africa",info@redbull.com,+27 21 555 3333,https://www.redbull.com/
52,Mo Ibrahim Foundation,Philanthropy & Sports Development,Supports African football development and talent discovery programs,50000000.0,2022-2032,"TV, Digital, Youth Events","London, UK",info@moibrahimfoundation.org,+44 20 7593 9138,https://mo.ibrahim.foundation/
53,Bidvest,Logistics & Services,Official sponsor of South African football teams,75000000.0,2019-2030,"TV, Stadium Branding, Digital Ads","Johannesburg, South Africa",info@bidvest.co.za,+27 11 772 8700,https://www.bidvest.co.za/
54,Airtel Africa,Telecommunications,Official telecom partner of African football academies,100000000.0,2017-2028,"TV, Digital, Print Media","Lagos, Nigeria",support@airtel.africa,+234 802 150 0111,https://www.airtel.africa/
55,Glo (Globacom),Telecommunications,Main sponsor of the Nigerian Premier League,80000000.0,2020-2030,"TV, Social Media, Billboards","Lagos, Nigeria",info@gloworld.com,+234 805 002 0200,https://www.gloworld.com/
56,Hollard Insurance,Insurance & Financial Services,Official insurance partner for African sports teams,60000000.0,2021-2031,"TV, Digital, Print","Johannesburg, South Africa",support@hollard.co.za,+27 11 351 5000,https://www.hollard.co.za/
57,Nedbank,Banking & Financial Services,Title sponsor of the Nedbank Cup in South Africa,125000000.0,2018-2028,"TV, Digital, Stadium Advertising","Johannesburg, South Africa",info@nedbank.co.za,+27 11 294 4444,https://www.nedbank.co.za/
58,Aspen Pharmacare,Pharmaceuticals,Health and wellness partner for African athletes,40000000.0,2019-2029,"TV, Print, Digital","Durban, South Africa",info@aspenpharma.com,+27 31 580 8600,https://www.aspenpharma.com/
59,TotalSports,Sports Retail,Sportswear and equipment supplier for African clubs,65000000.0,2020-2032,"Retail, Online, Print","Cape Town, South Africa",support@totalsports.co.za,+27 21 408 1600,https://www.totalsports.co.za/
60,Fly Emirates Africa,Airline & Travel,Exclusive travel partner for CAF tournaments,200000000.0,2016-2031,"TV, Digital, In-Flight Branding","Dubai, UAE",info@emirates.com,+971 4 708 1111,https://www.emirates.com/
61,Carling Black Label,Beverages,Sponsor of Carling Cup and African football leagues,95000000.0,2019-2030,"TV, Social Media, Print, Event Sponsorships","Johannesburg, South Africa",info@carlingblacklabel.co.za,+27 11 889 4444,https://www.carlingblacklabel.co.za/
62,Nando's Africa,Food & Beverage,Official restaurant sponsor of local African football leagues,50000000.0,2020-2030,"TV, Digital, In-store Promotions","Johannesburg, South Africa",support@nandos.co.za,+27 11 704 0333,https://www.nandos.co.za/
63,Safaricom,Telecommunications,Official partner of Kenyan Premier League,80000000.0,2018-2028,"TV, Digital, Outdoor Billboards","Nairobi, Kenya",info@safaricom.co.ke,+254 722 002 100,https://www.safaricom.co.ke/
64,Dangote Group,Manufacturing & Industrial,Sponsor of Nigerian youth football programs,120000000.0,2017-2030,"TV, Digital, Print","Lagos, Nigeria",info@dangote.com,+234 1 448 0815,https://www.dangote.com/
65,MTN Africa,Telecommunications,Main sponsor of African football leagues,150000000.0,2015-2029,"TV, Digital, Stadium Branding","Johannesburg, South Africa",support@mtn.com,+27 11 912 3000,https://www.mtn.com/
66,Côte d'Or Chocolate,Food & Beverage,Official partner of African football events,40000000.0,2022-2032,"TV, Digital, Social Media","Abidjan, Côte d'Ivoire",info@cotedorchocolate.com,+225 20 25 52 52,https://www.cotedor.com/
67,Zenith Bank,Banking & Financial Services,Official sponsor of African club tournaments,110000000.0,2016-2028,"TV, Digital, Billboards","Lagos, Nigeria",contact@zenithbank.com,+234 1 278 7000,https://www.zenithbank.com/
68,Jumia,E-commerce & Retail,E-commerce partner for African football merchandising,75000000.0,2021-2031,"Digital, Social Media, Event Sponsorships","Lagos, Nigeria",support@jumia.com,+234 700 6000 000,https://www.jumia.com.ng/
69,Nestlé Africa,Food & Beverage,Sponsor of African youth football development programs,95000000.0,2020-2030,"TV, Digital, Outdoor","Nairobi, Kenya",info@nestle.com,+254 20 394 3000,https://www.nestle.com/
70,Adidas Africa,Sports Apparel,Official kit supplier for African national teams,200000000.0,2019-2035,"Retail, Digital, Stadium Branding","Cape Town, South Africa",africa@adidas.com,+27 21 555 5555,https://www.adidas.com/
71,Ghana National Lottery Authority,Gaming & Lottery,Sponsor of Ghana Premier League,50000000.0,2022-2032,"TV, Digital, Billboards","Accra, Ghana",info@nla.gov.gh,+233 302 665 321,https://www.nla.com.gh/
72,Ecobank,Banking & Financial Services,Official financial sponsor for African club competitions,95000000.0,2019-2031,"TV, Digital, Stadium Ads","Lomé, Togo",support@ecobank.com,+228 22 21 03 03,https://www.ecobank.com/
73,Tanzania Breweries Limited,Beverages,Main sponsor of Tanzanian Premier League,45000000.0,2021-2029,"TV, Social Media, Print","Dar es Salaam, Tanzania",info@tbl.co.tz,+255 22 286 5422,https://www.tbl.co.tz/
74,Vodacom Africa,Telecommunications,Title sponsor of Vodacom Super League in South Africa,120000000.0,2018-2030,"TV, Digital, Outdoor","Johannesburg, South Africa",support@vodacom.co.za,+27 11 653 5000,https://www.vodacom.com/
75,BolaBet,Sports Betting,Exclusive betting partner for multiple African leagues,65000000.0,2022-2032,"TV, Digital, Social Media","Lagos, Nigeria",info@bolabet.com,+234 806 555 5555,https://www.bolabet.com/
76,Pepsi Africa,Beverages,Official beverage partner for African youth football programs,110000000.0,2016-2030,"TV, Digital, Stadium Branding","Lagos, Nigeria",contact@pepsi.com,+234 1 270 2000,https://www.pepsi.com/
77,UBA Group,Banking & Financial Services,Financial partner for African football development,75000000.0,2019-2032,"TV, Print, Digital","Lagos, Nigeria",support@ubagroup.com,+234 1 280 8822,https://www.ubagroup.com/
78,Coca-Cola Africa,Beverages,Official soft drink partner for African football tournaments,180000000.0,2015-2035,"TV, Digital, Social Media","Nairobi, Kenya",contact@coca-cola.com,+254 20 888 5555,https://www.coca-cola.com/
79,Orange Africa,Telecommunications,Exclusive telecom partner for CAF competitions,200000000.0,2017-2030,"TV, Digital, Billboards","Abidjan, Côte d'Ivoire",info@orange.com,+225 20 25 75 00,https://www.orange.com/
80,Kenya Airways,Airline & Travel,Official airline partner for Kenyan football clubs,50000000.0,2019-2029,"TV, Airport Ads, Digital","Nairobi, Kenya",info@kenya-airways.com,+254 20 327 4747,https://www.kenya-airways.com/
81,Castel Beer,Beverages,Sponsor of local football leagues across Africa,60000000.0,2020-2035,"TV, Digital, Stadium Ads","Douala, Cameroon",support@castel-beer.com,+237 222 31 22 33,https://www.castel-beer.com/
82,Zambeef,Agriculture & Food Processing,Official nutrition partner for Zambian football teams,35000000.0,2023-2033,"TV, Digital, Stadium Branding","Lusaka, Zambia",info@zambeef.com,+260 211 369 000,https://www.zambeefplc.com/
83,Econet Wireless,Telecommunications,Main telecom sponsor of Zimbabwean football leagues,75000000.0,2021-2031,"TV, Digital, Billboards","Harare, Zimbabwe",support@econet.co.zw,+263 4 798 000,https://www.econet.co.zw/
84,DSTV Africa,Media & Entertainment,Broadcast partner for CAF and African leagues,200000000.0,2018-2032,"TV, Digital, Streaming","Johannesburg, South Africa",info@dstv.com,+27 11 289 2222,https://www.dstv.com/
85,Tigo Tanzania,Telecommunications,Official sponsor of Tanzanian Premier League,60000000.0,2020-2030,"TV, Digital, Social Media","Dar es Salaam, Tanzania",info@tigo.co.tz,+255 22 278 0100,https://www.tigo.co.tz/
86,Stanbic Bank Africa,Banking & Financial Services,Financial partner for African sports infrastructure projects,125000000.0,2019-2034,"TV, Digital, Print","Johannesburg, South Africa",contact@stanbic.com,+27 11 636 9111,https://www.stanbic.com/
87,BIC Africa,Consumer Goods,Sponsor of African school football tournaments,30000000.0,2022-2032,"TV, Digital, School Activations","Casablanca, Morocco",info@bicworld.com,+212 522 58 90 00,https://www.bicworld.com/
88,Guinness Nigeria,Beverages,Sponsor of Nigerian Premier League and fan events,80000000.0,2020-2030,"TV, Digital, Social Media","Lagos, Nigeria",info@guinness-nigeria.com,+234 1 279  3000,https://www.guinness-nigeria.com/
89,Engen Petroleum,Energy & Oil,Fuel sponsor for South African football teams,95000000.0,2018-2028,"TV, Digital, Gas Stations","Cape Town, South Africa",support@engen.co.za,+27 21 403 4911,https://www.engen.co.za/
90,Jovago,Travel & Hospitality,Exclusive travel partner for African football teams,70000000.0,2021-2031,"TV, Digital, Social Media","Dakar, Senegal",support@jovago.com,+221 33 822 3311,https://www.jovago.com/
91,Huawei Africa,Technology,Official technology partner for African football clubs,150000000.0,2017-2032,"TV, Digital, AI-powered marketing","Nairobi, Kenya",contact@huawei.com,+254 20 272 0000,https://www.huawei.com/
92,Royal Air Maroc,Airline & Travel,Official airline partner for Moroccan football teams,65000000.0,2020-2030,"TV, Digital, In-Flight Ads","Casablanca, Morocco",info@royalairmaroc.com,+212 522 489 797,https://www.royalairmaroc.com/
93,Unilever Africa,Consumer Goods,Partner in health & hygiene programs for African footballers,85000000.0,2022-2035,"TV, Digital, Retail Activations","Johannesburg, South Africa",support@unilever.com,+27 11 722 2111,https://www.unilever.com/
94,Puma Africa,Sports Apparel,Kit supplier for African national teams & clubs,220000000.0,2018-2035,"Retail, Digital, Stadium Branding","Cape Town, South Africa",africa@puma.com,+27 21 555 1111,https://www.puma.com/
95,Power Horse,Beverages & Energy Drinks,Official energy drink sponsor for African leagues,50000000.0,2023-2033,"TV, Digital, Stadium Ads","Dubai, UAE",info@power-horse.com,+971 4 444 1234,https://www.power-horse.com/
96,EABL (East African Breweries Limited),Beverages,Main sponsor of Kenyan & Ugandan football leagues,92000000.0,2019-2032,"TV, Digital, Print","Nairobi, Kenya",contact@eabl.com,+254 20 864 0000,https://www.eabl.com/
97,BetKing,Sports Betting,Exclusive betting partner for African football leagues,100000000.0,2021-2031,"TV, Digital, Billboards","Lagos, Nigeria",info@betking.com,+234 700 238 5464,https://www.betking.com/
98,Mauritius Commercial Bank (MCB),Banking & Financial Services,Sponsor of regional football tournaments & academies,75000000.0,2020-2030,"TV, Print, Digital","Port Louis, Mauritius",support@mcb.mu,+230 202 6060,https://www.mcb.mu/
99,Canal+ Afrique,Media & Entertainment,Official broadcaster of African football tournaments,250000000.0,2015-2035,"TV, Digital, Streaming","Paris, France",info@canalplus.com,+33 1 71 35 55 55,https://www.canalplus-afrique.com/
100,Zenith Sports,Sports Equipment,Exclusive supplier of football gear for African teams,60000000.0,2022-2032,"Retail, Digital, Social Media","Accra, Ghana",info@zenithsports.com,+233 302 400 555,https://www.zenithsports.com/
101,Red Bull Africa,Beverages & Energy Drinks,Main sponsor for youth football tournaments in Africa,130000000.0,2020-2035,"TV, Digital, Stadium Ads","Johannesburg, South Africa",contact@redbull.com,+27 11 324 5555,https://www.redbull.com/
102,Airtel Africa,Telecommunications,Title sponsor of Airtel Rising Stars football program,95000000.0,2018-2033,"TV, Digital, Outdoor Billboards","Lagos, Nigeria",support@airtel.africa,+234 1 271 2000,https://www.airtel.africa/
103,Azam TV,Media & Broadcasting,Official broadcaster of Tanzanian Premier League,75000000.0,2019-2029,"TV, Digital, Online Streaming","Dar es Salaam, Tanzania",support@azammedia.com,+255 22 270 0995,https://www.azamtv.com/
104,TotalEnergies,Energy & Oil,Title sponsor of CAF competitions,350000000.0,2017-2035,"TV, Digital, Stadium Ads","Paris, France",info@totalenergies.com,+33 1 4744 4546,https://www.totalenergies.com/
105,Morocco Mall,Retail & Shopping,Official lifestyle partner for Moroccan football clubs,50000000.0,2021-2031,"TV, Social Media, Events","Casablanca, Morocco",info@moroccomall.com,+212 522 79 79 79,https://www.moroccomall.com/
106,UBA Foundation,Banking & Financial Services,Youth football development programs across Africa,78000000.0,2020-2035,"TV, Digital, Community Programs","Lagos, Nigeria",foundation@ubagroup.com,+234 1 280 8822,https://www.ubagroup.com/
107,FCMB Group,Banking & Financial Services,Exclusive financial partner for Nigerian football academies,85000000.0,2018-2033,"TV, Print, Digital","Lagos, Nigeria",info@fcmb.com,+234 1 279 3030,https://www.fcmb.com/
108,Pick n Pay,Retail & Supermarkets,Official grocery partner for South African football clubs,70000000.0,2019-2031,"Retail Stores, Digital, TV Ads","Cape Town, South Africa",support@picknpay.co.za,+27 21 658 1000,https://www.pnp.co.za/
109,Dangote Cement,Construction & Manufacturing,Sponsor of Nigerian football stadium infrastructure,120000000.0,2016-2030,"TV, Digital, Print","Lagos, Nigeria",info@dangotecement.com,+234 1 448 0815,https://www.dangotecement.com/
110,Tunisair,Airline & Travel,Official airline for Tunisian national football team,55000000.0,2019-2029,"TV, Digital, Airport Ads","Tunis, Tunisia",info@tunisair.com,+216 71 020 000,https://www.tunisair.com/
111,Milo Nestlé Ghana,Food & Beverage,Sponsor of youth football development in Ghana,60000000.0,2022-2032,"TV, Digital, School Activations","Accra, Ghana",info@nestle.com,+233 30 276 5555,https://www.nestle.com/
112,MTN Group,Telecommunications,Official telecom sponsor for various African leagues,400000000.0,2015-2035,"TV, Digital, Stadium Ads","Johannesburg, South Africa",info@mtn.com,+27 11 912 3000,https://www.mtn.com/
113,Standard Bank Africa,Banking & Financial Services,Exclusive banking partner for CAF tournaments,180000000.0,2018-2032,"TV, Print, Digital","Johannesburg, South Africa",contact@standardbank.co.za,+27 11 636 9111,https://www.standardbank.com/
114,Glo Nigeria,Telecommunications,Title sponsor of Nigerian Premier League,75000000.0,2020-2030,"TV, Digital, Outdoor","Lagos, Nigeria",support@gloworld.com,+234 805 002 0200,https://www.gloworld.com/
115,Woolworths South Africa,Retail & Supermarkets,Sponsor of youth football programs in South Africa,50000000.0,2022-2032,"Retail, Digital, Social Media","Cape Town, South Africa",support@woolworths.co.za,+27 21 407 7000,https://www.woolworths.co.za/
116,SuperSport,Media & Broadcasting,Exclusive broadcaster of African football tournaments,350000000.0,2016-2035,"TV, Streaming, Digital","Johannesburg, South Africa",info@supersport.com,+27 11 686 6000,https://www.supersport.com/
117,Nando’s,Food & Restaurants,Sponsor of African national team fan experiences,60000000.0,2021-2031,"TV, Digital, In-Restaurant Promotions","Johannesburg, South Africa",support@nandos.com,+27 11 567 0000,https://www.nandos.com/
118,Shoprite Group,Retail & Supermarkets,Sponsor of grassroots football in Africa,80000000.0,2019-2033,"Retail, Digital, Stadium Ads","Cape Town, South Africa",info@shoprite.co.za,+27 21 980 4000,https://www.shopriteholdings.co.za/
119,Barclays Africa,Banking & Financial Services,Financial partner for African club sponsorship deals,130000000.0,2017-2031,"TV, Print, Digital","Johannesburg, South Africa",contact@barclaysafrica.com,+27 11 350 4000,https://www.barclaysafrica.com/
120,Interswitch,Fintech & Payments,Exclusive payment processing partner for African leagues,95000000.0,2021-2035,"TV, Digital, Stadium Branding","Lagos, Nigeria",info@interswitchgroup.com,+234 1 906 5000,https://www.interswitchgroup.com/
121,PepsiCo Africa,Beverages,Official beverage partner of multiple African football leagues,180000000.0,2015-2035,"TV, Digital, Retail Activations","Lagos, Nigeria",info@pepsico.com,+234 1 270 2000,https://www.pepsico.com/
122,Orange Africa,Telecommunications,Main sponsor of CAF tournaments and African football leagues,450000000.0,2015-2035,"TV, Digital, Stadium Ads","Abidjan, Côte d'Ivoire",support@orange.com,+225 27 20 00 00 00,https://www.orange.com/
123,Coca-Cola Africa,Beverages,Official beverage partner of African football tournaments,500000000.0,2010-2035,"TV, Digital, In-Stadium Promotions","Lagos, Nigeria",info@coca-cola.com,+234 1 270 1000,https://www.coca-cola.com/
124,Ethiopian Airlines,Airline & Travel,Official airline for CAF and African club competitions,120000000.0,2021-2031,"TV, Digital, Airport Ads","Addis Ababa, Ethiopia",info@ethiopianairlines.com,+251 11 517 8915,https://www.ethiopianairlines.com/
125,Castel Group,Beverages,Sponsor of various African football clubs and national teams,110000000.0,2018-2033,"TV, Digital, Social Media","Douala, Cameroon",info@castel-afrique.com,+237 33 42 78 00,https://www.castel-afrique.com/
126,Fly Emirates,Airline & Travel,"Global sponsor of football leagues, including African clubs",600000000.0,2010-2040,"TV, Digital, Airport Branding","Dubai, UAE",support@emirates.com,+971 600 555 555,https://www.emirates.com/
127,Nissan Africa,Automotive,Official car sponsor of African football leagues,130000000.0,2019-2034,"TV, Print, Digital","Pretoria, South Africa",info@nissan.co.za,+27 12 529 6000,https://www.nissan.co.za/
128,Samsung Africa,Technology,Tech partner for African football teams & stadiums,170000000.0,2018-2035,"TV, Digital, Smart Stadium Ads","Nairobi, Kenya",contact@samsung.com,+254 20 390 0000,https://www.samsung.com/
129,Uber Africa,Transport & Mobility,Exclusive transport partner for African football tournaments,95000000.0,2022-2032,"App Ads, Digital, TV","Lagos, Nigeria",support@uber.com,+234 1 271 5000,https://www.uber.com/
130,Visa Africa,Financial Services,Official payment partner for African football events,210000000.0,2020-2035,"TV, Digital, Stadium Branding","Cape Town, South Africa",info@visa.com,+27 21 480 6000,https://www.visa.com/
131,Safaricom,Telecommunications,Main sponsor of Kenyan Premier League,200000000.0,2018-2033,"TV, Digital, Print","Nairobi, Kenya",info@safaricom.co.ke,+254 722 003 272,https://www.safaricom.co.ke/
132,Econet Wireless,Telecommunications,Official telecom partner for Zimbabwean football,125000000.0,2019-2031,"TV, Digital, Stadium Ads","Harare, Zimbabwe",info@econet.co.zw,+263 4 777 000,https://www.econet.co.zw/
