brand_id;brand_name;sponsorship_deals;product_types;location;annual_revenue;contact_email;phone_number;website;
75;Kappa;National Team;Football Club;Uganda;$34.5B;contact@kappa.com;1 936 335 129;https://www.kappa.com;
873;Kappa;Football Club;Footwear;Tanzania;$11.8B;contact@kappa.com;1 719 807 276;https://www.kappa.com;
866;Le Coq Sportif;National Team;Footwear;Ghana;$34.1B;contact@le coq sportif.com;441 094 967;https://www.le coq sportif.com;
53;AY Sport;Football Club;Sportswear;Kenya;$6.4B;contact@ay sport.com;2 472 486 751;https://www.ay sport.com;
594;AY Sport;Football Club;National Team;Tanzania;$47.8B;contact@ay sport.com;2 453 763 778;https://www.ay sport.com;
300;Masita;National Team;Basketball;Algeria;$45.6B;contact@masita.com;1 645 808 818;https://www.masita.com;
866;Nike;Football Club;Football Club;Kenya;$8.1B;contact@nike.com;1 417 374 015;https://www.nike.com;
639;Nike;National Team;Footwear;Egypt;$18.7B;contact@nike.com;2 421 919 444;https://www.nike.com;
639;Nike;National Team;Basketball;Egypt;$15.4B;contact@nike.com;917 833 711;https://www.nike.com;
920;Nike;Football Club;Football Club;Tunisia;$25.6B;contact@nike.com;1 281 097 125;https://www.nike.com;
633;Le Coq Sportif;Football Club;Football Club;Egypt;$13.7B;contact@le coq sportif.com;695 314 750;https://www.le coq sportif.com;
834;AY Sport;Football Club;National Team;Egypt;$27.0B;contact@ay sport.com;785 003 715;https://www.ay sport.com;
577;Masita;National Team;Basketball;Senegal;$47.1B;contact@masita.com;771 379 174;https://www.masita.com;
229;AY Sport;Football Club;Basketball;Nigeria;$23.8B;contact@ay sport.com;1 858 276 874;https://www.ay sport.com;
517;AY Sport;Football Club;Sportswear;Uganda;$18.2B;contact@ay sport.com;558 848 245;https://www.ay sport.com;
1;Puma;Football Club;Football Club;South Africa;$12.5B;contact@puma.com;2 396 395 570;https://www.puma.com;
771;Erreà;Basketball Team;Footwear;Kenya;$21.6B;contact@erreà.com;397 565 354;https://www.erreà.com;
227;Erreà;Basketball Team;Footwear;Senegal;$39.3B;contact@erreà.com;387 986 393;https://www.erreà.com;
594;Adidas;Basketball Team;National Team;Ghana;$13.8B;contact@adidas.com;1 113 994 747;https://www.adidas.com;
556;Erreà;Basketball Team;Football Club;Tunisia;$5.4B;contact@erreà.com;502 149 850;https://www.erreà.com;
970;AY Sport;Football Club;Footwear;Ghana;$41.1B;contact@ay sport.com;1 888 784 021;https://www.ay sport.com;
147;Puma;National Team;Footwear;Nigeria;$28.1B;contact@puma.com;382 048 685;https://www.puma.com;
439;Erreà;Basketball Team;Football Club;Senegal;$13.3B;contact@erreà.com;865 084 637;https://www.erreà.com;
225;Puma;Basketball Team;Football Club;Senegal;$46.8B;contact@puma.com;627 399 366;https://www.puma.com;
407;Adidas;Football Club;National Team;Egypt;$48.0B;contact@adidas.com;839 185 554;https://www.adidas.com;
353;Masita;Basketball Team;Basketball;Zambia;$7.1B;contact@masita.com;2 158 039 877;https://www.masita.com;
141;Erreà;Basketball Team;National Team;South Africa;$19.4B;contact@erreà.com;2 179 226 336;https://www.erreà.com;
895;Puma;Basketball Team;National Team;Senegal;$49.1B;contact@puma.com;1 835 184 719;https://www.puma.com;
77;Nike;Football Club;National Team;Egypt;$24.4B;contact@nike.com;2 194 115 692;https://www.nike.com;
84;Erreà;National Team;Footwear;Uganda;$6.7B;contact@erreà.com;1 215 036 703;https://www.erreà.com;
684;Masita;National Team;Basketball;Kenya;$35.2B;contact@masita.com;1 713 733 385;https://www.masita.com;
475;Puma;National Team;Footwear;Algeria;$28.4B;contact@puma.com;2 542 151 066;https://www.puma.com;
100;Nike;National Team;National Team;Uganda;$48.6B;contact@nike.com;576 094 569;https://www.nike.com;
453;Kappa;Football Club;Football Club;Tanzania;$33.9B;contact@kappa.com;743 249 709;https://www.kappa.com;
86;Puma;Basketball Team;Footwear;South Africa;$15.8B;contact@puma.com;2 384 262 126;https://www.puma.com;
452;Puma;Basketball Team;Sportswear;Algeria;$41.6B;contact@puma.com;1 358 168 142;https://www.puma.com;
900;Erreà;National Team;Sportswear;South Africa;$48.3B;contact@erreà.com;752 973 724;https://www.erreà.com;
36;Le Coq Sportif;National Team;National Team;Senegal;$49.3B;contact@le coq sportif.com;1 526 439 836;https://www.le coq sportif.com;
359;Kappa;Football Club;Basketball;Zambia;$7.3B;contact@kappa.com;761 794 208;https://www.kappa.com;
359;Kappa;Basketball Team;Sportswear;Egypt;$23.4B;contact@kappa.com;1 934 403 494;https://www.kappa.com;
644;AY Sport;Basketball Team;Football Club;Egypt;$25.5B;contact@ay sport.com;1 483 783 380;https://www.ay sport.com;
771;Kappa;Football Club;National Team;Senegal;$38.5B;contact@kappa.com;2 306 272 651;https://www.kappa.com;
591;Erreà;National Team;Football Club;Ghana;$32.2B;contact@erreà.com;1 864 704 818;https://www.erreà.com;
51;Puma;Football Club;Basketball;Uganda;$38.5B;contact@puma.com;2 337 194 965;https://www.puma.com;
210;Kappa;Football Club;Sportswear;South Africa;$27.8B;contact@kappa.com;1 739 685 950;https://www.kappa.com;
114;Le Coq Sportif;Football Club;National Team;Zambia;$14.5B;contact@le coq sportif.com;1 178 652 455;https://www.le coq sportif.com;
525;Erreà;National Team;National Team;Tanzania;$7.4B;contact@erreà.com;772 512 214;https://www.erreà.com;
854;Masita;National Team;National Team;Nigeria;$7.0B;contact@masita.com;1 998 967 434;https://www.masita.com;
471;Le Coq Sportif;Football Club;Footwear;Senegal;$32.2B;contact@le coq sportif.com;863 638 316;https://www.le coq sportif.com;
140;AY Sport;Football Club;Basketball;Egypt;$41.6B;contact@ay sport.com;684 551 182;https://www.ay sport.com;
198;AY Sport;Basketball Team;Sportswear;South Africa;$41.9B;contact@ay sport.com;1 334 269 488;https://www.ay sport.com;
52;Erreà;National Team;National Team;Uganda;$7.5B;contact@erreà.com;351 782 639;https://www.erreà.com;
336;Le Coq Sportif;Football Club;Basketball;South Africa;$27.1B;contact@le coq sportif.com;1 025 364 270;https://www.le coq sportif.com;
859;Erreà;National Team;Sportswear;Senegal;$29.5B;contact@erreà.com;1 507 802 377;https://www.erreà.com;
62;AY Sport;National Team;National Team;Zambia;$37.6B;contact@ay sport.com;1 834 451 582;https://www.ay sport.com;
952;Erreà;Football Club;Sportswear;Algeria;$26.5B;contact@erreà.com;1 982 095 353;https://www.erreà.com;
531;Masita;Basketball Team;National Team;Ghana;$22.8B;contact@masita.com;954 047 714;https://www.masita.com;
880;Erreà;Football Club;Basketball;Senegal;$17.8B;contact@erreà.com;2 294 283 671;https://www.erreà.com;
645;Nike;National Team;Basketball;Senegal;$22.8B;contact@nike.com;1 375 727 284;https://www.nike.com;
647;Kappa;Basketball Team;Football Club;Senegal;$38.2B;contact@kappa.com;926 479 117;https://www.kappa.com;
627;Le Coq Sportif;Football Club;Sportswear;Senegal;$35.7B;contact@le coq sportif.com;1 009 196 581;https://www.le coq sportif.com;
604;Le Coq Sportif;Basketball Team;Football Club;Nigeria;$18.0B;contact@le coq sportif.com;2 139 141 660;https://www.le coq sportif.com;
695;Adidas;Football Club;Sportswear;Tunisia;$12.4B;contact@adidas.com;1 764 999 396;https://www.adidas.com;
918;Le Coq Sportif;National Team;Football Club;Nigeria;$45.8B;contact@le coq sportif.com;477 401 287;https://www.le coq sportif.com;
132;Erreà;Football Club;National Team;South Africa;$36.8B;contact@erreà.com;1 024 238 418;https://www.erreà.com;
951;Le Coq Sportif;Football Club;National Team;Tunisia;$16.7B;contact@le coq sportif.com;967 336 229;https://www.le coq sportif.com;
55;AY Sport;National Team;Basketball;Senegal;$41.9B;contact@ay sport.com;1 232 705 686;https://www.ay sport.com;
741;Nike;Football Club;Sportswear;South Africa;$46.6B;contact@nike.com;1 222 354 958;https://www.nike.com;
634;Erreà;Basketball Team;Basketball;Zambia;$34.1B;contact@erreà.com;2 515 309 945;https://www.erreà.com;
297;Kappa;Football Club;Sportswear;Ghana;$5.7B;contact@kappa.com;715 701 129;https://www.kappa.com;
744;Nike;Football Club;National Team;Nigeria;$40.7B;contact@nike.com;2 121 692 467;https://www.nike.com;
33;Nike;Football Club;Football Club;Egypt;$30.2B;contact@nike.com;1 554 621 377;https://www.nike.com;
542;Nike;Football Club;Sportswear;Uganda;$13.5B;contact@nike.com;296 563 985;https://www.nike.com;
139;Erreà;National Team;Sportswear;Nigeria;$20.1B;contact@erreà.com;912 068 703;https://www.erreà.com;
736;Adidas;Basketball Team;Football Club;Uganda;$14.7B;contact@adidas.com;2 466 166 877;https://www.adidas.com;
318;Masita;Basketball Team;Sportswear;Egypt;$29.5B;contact@masita.com;981 543 735;https://www.masita.com;
428;Erreà;Basketball Team;National Team;Zambia;$26.7B;contact@erreà.com;795 888 324;https://www.erreà.com;
992;Erreà;National Team;Basketball;Uganda;$28.6B;contact@erreà.com;1 314 236 942;https://www.erreà.com;
434;AY Sport;Basketball Team;National Team;Algeria;$33.2B;contact@ay sport.com;838 907 910;https://www.ay sport.com;
855;Masita;Football Club;Football Club;Nigeria;$15.5B;contact@masita.com;1 952 043 005;https://www.masita.com;
16;Puma;National Team;National Team;Egypt;$26.4B;contact@puma.com;2 175 393 246;https://www.puma.com;
736;Le Coq Sportif;Basketball Team;Football Club;Egypt;$41.5B;contact@le coq sportif.com;1 467 621 442;https://www.le coq sportif.com;
164;Puma;National Team;Football Club;Tunisia;$6.5B;contact@puma.com;737 284 419;https://www.puma.com;
700;Puma;National Team;National Team;South Africa;$11.8B;contact@puma.com;1 638 513 143;https://www.puma.com;
570;AY Sport;National Team;National Team;Tanzania;$11.8B;0;1 974 596 775;https://www.ay sport.com;
846;Masita;Basketball Team;Football Club;Kenya;$40.3B;contact@masita.com;2 271 054 415;https://www.masita.com;
10;Adidas;Basketball Team;Sportswear;Senegal;$18.8B;contact@adidas.com;772 527 581;https://www.adidas.com;
558;AY Sport;National Team;National Team;Tanzania;$49.0B;contact@ay sport.com;278 067 789;https://www.ay sport.com;
993;AY Sport;National Team;Footwear;Kenya;$19.0B;contact@ay sport.com;1 267 204 343;https://www.ay sport.com;
97;Le Coq Sportif;National Team;Basketball;South Africa;$46.2B;contact@le coq sportif.com;2 236 742 251;https://www.le coq sportif.com;
934;Erreà;Football Club;Football Club;Kenya;$13.8B;contact@erreà.com;769 397 015;https://www.erreà.com;
155;Masita;National Team;Footwear;Algeria;$32.9B;contact@masita.com;1 201 898 463;https://www.masita.com;
132;Le Coq Sportif;National Team;Basketball;South Africa;$34.8B;contact@le coq sportif.com;559 047 298;https://www.le coq sportif.com;
434;AY Sport;Basketball Team;Basketball;South Africa;$44.7B;contact@ay sport.com;266 984 115;https://www.ay sport.com;
512;Adidas;Football Club;Footwear;Tunisia;$33.2B;contact@adidas.com;1 851 689 048;https://www.adidas.com;
94;Masita;Football Club;National Team;South Africa;$7.8B;contact@masita.com;2 275 423 418;https://www.masita.com;
811;Masita;Basketball Team;Football Club;Zambia;$16.9B;contact@masita.com;765 305 473;https://www.masita.com;
943;Masita;Basketball Team;Footwear;South Africa;$18.6B;contact@masita.com;1 009 069 903;https://www.masita.com;
328;Adidas;National Team;National Team;Algeria;$30.4B;contact@adidas.com;1 409 246 879;https://www.adidas.com;
662;Masita;Basketball Team;Footwear;Zambia;$20.7B;contact@masita.com;2 361 717 510;https://www.masita.com;
365;Kappa;Basketball Team;Basketball;Nigeria;$35.0B;contact@kappa.com;2 132 785 675;https://www.kappa.com;
979;Adidas;National Team;Footwear;Kenya;$37.2B;contact@adidas.com;1 928 923 309;https://www.adidas.com;
800;Kappa;National Team;Sportswear;Uganda;$42.8B;contact@kappa.com;2 085 976 455;https://www.kappa.com;
542;Adidas;Football Club;Sportswear;Tanzania;$15.0B;contact@adidas.com;277 661 501;https://www.adidas.com;
543;Masita;National Team;Basketball;South Africa;$48.8B;contact@masita.com;1 301 611 337;https://www.masita.com;
516;AY Sport;National Team;Football Club;Tanzania;$47.3B;contact@ay sport.com;2 412 086 298;https://www.ay sport.com;
763;Kappa;Football Club;Sportswear;Algeria;$14.9B;contact@kappa.com;1 874 093 768;https://www.kappa.com;
407;Puma;National Team;National Team;Nigeria;$8.9B;contact@puma.com;793 239 794;https://www.puma.com;
413;Masita;National Team;Football Club;Algeria;$14.8B;contact@masita.com;2 486 635 253;https://www.masita.com;
156;Masita;Football Club;Basketball;Egypt;$49.5B;contact@masita.com;462 605 720;https://www.masita.com;
17;Adidas;National Team;Football Club;Tunisia;$22.2B;contact@adidas.com;1 997 116 342;https://www.adidas.com;
453;Le Coq Sportif;National Team;Footwear;Tunisia;$38.9B;contact@le coq sportif.com;2 088 651 459;https://www.le coq sportif.com;
72;AY Sport;National Team;National Team;Algeria;$49.3B;contact@ay sport.com;1 361 002 538;https://www.ay sport.com;
991;Le Coq Sportif;Basketball Team;Football Club;Egypt;$37.8B;contact@le coq sportif.com;606 958 077;https://www.le coq sportif.com;
437;Kappa;National Team;National Team;Tanzania;$39.4B;contact@kappa.com;267 637 426;https://www.kappa.com;
603;Le Coq Sportif;Basketball Team;Football Club;Algeria;$38.0B;contact@le coq sportif.com;1 011 343 518;https://www.le coq sportif.com;
286;Adidas;Football Club;National Team;Egypt;$33.1B;contact@adidas.com;458 465 002;https://www.adidas.com;
161;Erreà;Basketball Team;Basketball;Nigeria;$34.6B;contact@erreà.com;1 746 948 789;https://www.erreà.com;
18;Masita;National Team;Sportswear;Kenya;$45.0B;contact@masita.com;1 908 925 166;https://www.masita.com;
939;Puma;Football Club;National Team;Tunisia;$19.9B;contact@puma.com;633 717 830;https://www.puma.com;
884;Nike;National Team;Football Club;Senegal;$18.7B;contact@nike.com;2 138 453 249;https://www.nike.com;
560;AY Sport;National Team;National Team;Tunisia;$46.7B;contact@ay sport.com;849 823 663;https://www.ay sport.com;
369;AY Sport;Basketball Team;Basketball;Algeria;$7.8B;contact@ay sport.com;1 283 111 143;https://www.ay sport.com;
507;Puma;Football Club;Basketball;Uganda;$23.7B;contact@puma.com;524 862 098;https://www.puma.com;
759;Masita;National Team;Footwear;Tunisia;$13.2B;contact@masita.com;221 608 016;https://www.masita.com;
820;Le Coq Sportif;National Team;Basketball;South Africa;$43.1B;contact@le coq sportif.com;551 385 307;https://www.le coq sportif.com;
810;Adidas;National Team;Sportswear;Uganda;$45.3B;contact@adidas.com;1 908 616 851;https://www.adidas.com;
918;Erreà;Football Club;Sportswear;Ghana;$44.9B;contact@erreà.com;2 006 237 340;https://www.erreà.com;
994;Adidas;Football Club;National Team;Uganda;$18.7B;contact@adidas.com;1 288 338 636;https://www.adidas.com;
735;Erreà;Football Club;National Team;South Africa;$26.8B;contact@erreà.com;2 194 084 113;https://www.erreà.com;
950;Le Coq Sportif;National Team;Sportswear;Uganda;$38.5B;contact@le coq sportif.com;1 875 589 276;https://www.le coq sportif.com;
914;AY Sport;National Team;Footwear;Algeria;$25.8B;contact@ay sport.com;2 139 237 495;https://www.ay sport.com;
999;Kappa;Basketball Team;Sportswear;Algeria;$8.9B;contact@kappa.com;1 354 026 389;https://www.kappa.com;
19;Kappa;Basketball Team;Footwear;Egypt;$49.4B;contact@kappa.com;211 516 264;https://www.kappa.com;
109;Masita;Basketball Team;Footwear;Tunisia;$41.6B;contact@masita.com;1 604 423 921;https://www.masita.com;
111;Adidas;Football Club;Sportswear;Senegal;$47.6B;contact@adidas.com;363 434 421;https://www.adidas.com;
507;Kappa;National Team;Sportswear;Ghana;$32.1B;contact@kappa.com;1 722 032 419;https://www.kappa.com;
8;Puma;National Team;Footwear;Tunisia;$39.0B;contact@puma.com;1 939 026 075;https://www.puma.com;
294;Le Coq Sportif;Football Club;Basketball;Tanzania;$39.7B;contact@le coq sportif.com;1 638 021 625;https://www.le coq sportif.com;
4;Kappa;Basketball Team;Football Club;South Africa;$17.9B;contact@kappa.com;2 399 133 251;https://www.kappa.com;
971;Masita;Football Club;National Team;Senegal;$34.2B;contact@masita.com;1 905 518 293;https://www.masita.com;
836;Puma;Football Club;Footwear;South Africa;$25.3B;contact@puma.com;1 594 711 128;https://www.puma.com;
943;Erreà;Football Club;Sportswear;Uganda;$27.5B;contact@erreà.com;1 527 105 260;https://www.erreà.com;
139;AY Sport;Basketball Team;National Team;Egypt;$33.2B;contact@ay sport.com;2 184 771 208;https://www.ay sport.com;
472;Kappa;National Team;Sportswear;Tanzania;$41.9B;contact@kappa.com;1 796 523 566;https://www.kappa.com;
256;Erreà;Football Club;Basketball;Egypt;$20.3B;contact@erreà.com;1 221 495 835;https://www.erreà.com;
752;Le Coq Sportif;Football Club;Footwear;Nigeria;$10.2B;contact@le coq sportif.com;2 037 037 283;https://www.le coq sportif.com;
599;Puma;Football Club;Footwear;Kenya;$17.2B;contact@puma.com;455 224 513;https://www.puma.com;
882;Le Coq Sportif;National Team;National Team;Kenya;$22.6B;contact@le coq sportif.com;1 055 617 064;https://www.le coq sportif.com;
479;Kappa;National Team;Football Club;Egypt;$39.3B;contact@kappa.com;684 325 202;https://www.kappa.com;
990;Erreà;Football Club;Sportswear;Zambia;$31.6B;contact@erreà.com;231 673 491;https://www.erreà.com;
497;Nike;Basketball Team;National Team;Kenya;$49.2B;contact@nike.com;1 796 558 606;https://www.nike.com;
711;Kappa;Football Club;Basketball;Tanzania;$21.4B;contact@kappa.com;1 368 917 920;https://www.kappa.com;
697;Kappa;Football Club;Football Club;Algeria;$31.4B;contact@kappa.com;2 004 338 688;https://www.kappa.com;
991;Puma;National Team;Sportswear;Tanzania;$17.9B;contact@puma.com;1 453 814 309;https://www.puma.com;
691;Le Coq Sportif;Basketball Team;Basketball;Algeria;$24.4B;contact@le coq sportif.com;525 225 559;https://www.le coq sportif.com;
740;Erreà;Football Club;Footwear;Nigeria;$9.3B;contact@erreà.com;2 191 248 129;https://www.erreà.com;
604;Masita;National Team;Football Club;Egypt;$29.4B;contact@masita.com;1 223 223 431;https://www.masita.com;
733;AY Sport;Football Club;Basketball;Tanzania;$9.8B;contact@ay sport.com;1 485 679 331;https://www.ay sport.com;
100;AY Sport;Basketball Team;National Team;Algeria;$11.9B;contact@ay sport.com;909 205 374;https://www.ay sport.com;
547;Le Coq Sportif;Football Club;Basketball;Senegal;$36.7B;contact@le coq sportif.com;957 379 596;https://www.le coq sportif.com;
451;Adidas;National Team;Basketball;Tunisia;$20.3B;contact@adidas.com;1 005 879 674;https://www.adidas.com;
710;Adidas;National Team;Sportswear;Zambia;$27.2B;contact@adidas.com;873 334 406;https://www.adidas.com;
886;AY Sport;Basketball Team;Footwear;Uganda;$8.3B;contact@ay sport.com;1 611 618 311;https://www.ay sport.com;
264;Erreà;Basketball Team;Footwear;Tanzania;$17.3B;contact@erreà.com;1 718 634 029;https://www.erreà.com;
597;AY Sport;Football Club;Footwear;Tunisia;$45.1B;contact@ay sport.com;405 839 676;https://www.ay sport.com;
398;Kappa;National Team;Basketball;Nigeria;$39.1B;contact@kappa.com;472 977 316;https://www.kappa.com;
471;Masita;Basketball Team;Footwear;Egypt;$47.9B;contact@masita.com;1 202 688 202;https://www.masita.com;
148;Nike;Basketball Team;Basketball;Ghana;$34.8B;contact@nike.com;872 954 378;https://www.nike.com;
708;Le Coq Sportif;Basketball Team;National Team;Algeria;$7.4B;contact@le coq sportif.com;916 499 595;https://www.le coq sportif.com;
437;AY Sport;Football Club;National Team;Ghana;$44.2B;contact@ay sport.com;2 383 783 183;https://www.ay sport.com;
366;Kappa;National Team;Basketball;Nigeria;$16.2B;contact@kappa.com;961 242 668;https://www.kappa.com;
803;Adidas;Basketball Team;Basketball;Ghana;$42.2B;contact@adidas.com;2 312 694 151;https://www.adidas.com;
211;Masita;National Team;Football Club;Senegal;$45.5B;contact@masita.com;1 391 115 818;https://www.masita.com;
704;Le Coq Sportif;Basketball Team;Basketball;Algeria;$37.5B;contact@le coq sportif.com;1 824 058 751;https://www.le coq sportif.com;
923;Puma;Basketball Team;Football Club;Uganda;$6.6B;contact@puma.com;1 488 032 902;https://www.puma.com;
697;Erreà;National Team;Basketball;Nigeria;$41.3B;contact@erreà.com;1 312 845 798;https://www.erreà.com;
331;Kappa;Football Club;National Team;Egypt;$14.9B;contact@kappa.com;2 342 999 532;https://www.kappa.com;
766;AY Sport;Basketball Team;Footwear;Nigeria;$20.4B;contact@ay sport.com;505 073 339;https://www.ay sport.com;
85;Kappa;National Team;Footwear;Zambia;$27.4B;contact@kappa.com;1 366 171 428;https://www.kappa.com;
231;Puma;National Team;Football Club;Nigeria;$9.5B;contact@puma.com;1 244 325 090;https://www.puma.com;
159;Masita;Football Club;Basketball;Tanzania;$36.6B;contact@masita.com;2 095 453 219;https://www.masita.com;
663;Nike;Football Club;Football Club;Tanzania;$30.6B;contact@nike.com;2 175 796 471;https://www.nike.com;
213;Le Coq Sportif;National Team;Sportswear;Senegal;$6.3B;contact@le coq sportif.com;1 717 225 899;https://www.le coq sportif.com;
334;Adidas;Basketball Team;Football Club;Kenya;$36.2B;contact@adidas.com;1 868 105 204;https://www.adidas.com;
659;AY Sport;National Team;National Team;Senegal;$33.8B;contact@ay sport.com;1 694 767 742;https://www.ay sport.com;
634;Le Coq Sportif;National Team;National Team;Egypt;$7.1B;contact@le coq sportif.com;1 192 772 401;https://www.le coq sportif.com;
473;Adidas;Football Club;Footwear;South Africa;$10.2B;contact@adidas.com;2 055 656 954;https://www.adidas.com;
812;Le Coq Sportif;Basketball Team;Footwear;Ghana;$39.8B;contact@le coq sportif.com;931 305 244;https://www.le coq sportif.com;
690;Puma;Basketball Team;Sportswear;South Africa;$8.5B;contact@puma.com;1 871 426 381;https://www.puma.com;
561;Le Coq Sportif;Basketball Team;Sportswear;Egypt;$48.3B;contact@le coq sportif.com;712 723 101;https://www.le coq sportif.com;
686;Nike;National Team;Basketball;Ghana;$7.9B;contact@nike.com;1 197 444 808;https://www.nike.com;
897;Erreà;National Team;Footwear;Senegal;$6.8B;contact@erreà.com;1 438 611 889;https://www.erreà.com;
339;AY Sport;National Team;Basketball;Nigeria;$11.4B;contact@ay sport.com;2 532 597 333;https://www.ay sport.com;
566;Erreà;Basketball Team;Sportswear;South Africa;$5.1B;contact@erreà.com;561 922 638;https://www.erreà.com;
941;Kappa;National Team;Football Club;Uganda;$23.7B;contact@kappa.com;971 179 630;https://www.kappa.com;
61;Erreà;Football Club;National Team;Senegal;$23.9B;contact@erreà.com;2 435 143 970;https://www.erreà.com;
329;Adidas;Football Club;Basketball;Kenya;$33.5B;contact@adidas.com;2 015 108 487;https://www.adidas.com;
724;Le Coq Sportif;National Team;National Team;Tanzania;$16.1B;contact@le coq sportif.com;412 076 598;https://www.le coq sportif.com;
443;Erreà;Basketball Team;Football Club;Zambia;$19.7B;contact@erreà.com;2 552 305 102;https://www.erreà.com;
272;Erreà;National Team;National Team;South Africa;$32.0B;contact@erreà.com;2 276 006 146;https://www.erreà.com;
200;Kappa;Basketball Team;Football Club;Ghana;$28.1B;contact@kappa.com;1 304 749 627;https://www.kappa.com;
345;Kappa;National Team;Football Club;Senegal;$36.6B;contact@kappa.com;982 666 554;https://www.kappa.com;
315;Erreà;Basketball Team;National Team;Ghana;$15.3B;contact@erreà.com;1 769 396 640;https://www.erreà.com;
681;AY Sport;National Team;Basketball;Tunisia;$41.4B;contact@ay sport.com;398 512 518;https://www.ay sport.com;
153;Kappa;Football Club;Sportswear;Zambia;$16.0B;contact@kappa.com;1 179 072 430;https://www.kappa.com;
684;AY Sport;National Team;Footwear;Uganda;$8.0B;contact@ay sport.com;219 435 632;https://www.ay sport.com;
74;Erreà;National Team;Sportswear;Nigeria;$15.5B;contact@erreà.com;1 687 962 410;https://www.erreà.com;
64;Erreà;Basketball Team;Sportswear;South Africa;$8.6B;contact@erreà.com;1 204 859 594;https://www.erreà.com;
59;Le Coq Sportif;Basketball Team;Basketball;Algeria;$29.8B;contact@le coq sportif.com;429 088 999;https://www.le coq sportif.com;
785;Masita;Basketball Team;National Team;Kenya;$25.9B;contact@masita.com;506 233 755;https://www.masita.com;
348;Kappa;National Team;Footwear;Zambia;$24.2B;contact@kappa.com;448 547 307;https://www.kappa.com;
645;Puma;Football Club;Footwear;Uganda;$34.1B;contact@puma.com;1 372 774 425;https://www.puma.com;
742;Puma;Basketball Team;Sportswear;Egypt;$37.4B;contact@puma.com;2 281 283 507;https://www.puma.com;
968;Le Coq Sportif;Football Club;Sportswear;South Africa;$47.1B;contact@le coq sportif.com;2 155 686 419;https://www.le coq sportif.com;
74;Puma;National Team;Footwear;Senegal;$11.4B;contact@puma.com;2 202 979 632;https://www.puma.com;
940;Nike;National Team;Sportswear;Zambia;$37.4B;contact@nike.com;1 235 053 477;https://www.nike.com;
251;Erreà;National Team;Sportswear;Algeria;$35.6B;contact@erreà.com;1 199 498 348;https://www.erreà.com;
109;Nike;National Team;National Team;South Africa;$24.0B;contact@nike.com;1 017 373 292;https://www.nike.com;
22;Puma;National Team;Sportswear;Algeria;$36.5B;contact@puma.com;1 219 501 750;https://www.puma.com;
942;Adidas;Basketball Team;Football Club;Nigeria;$37.4B;contact@adidas.com;1 706 029 977;https://www.adidas.com;
333;AY Sport;Basketball Team;Basketball;Kenya;$9.9B;contact@ay sport.com;2 016 798 397;https://www.ay sport.com;
376;Kappa;Basketball Team;National Team;Senegal;$7.8B;contact@kappa.com;1 113 393 315;https://www.kappa.com;
