agency_id,agency_name,services_offered,top_clients,region,contact_email,phone_number
130,Powerhouse Talent Group,"Sports legal support, media handling, player profiling","Andre Onana, Clinton N'Jie","Cameroon, Netherlands, Spain",info@powerhousetalent.com,+237 671 234 567
131,Game Changers Sports,"Football business consultancy, endorsement strategy, financial planning","Sofiane Boufal, Romain Saïss","Morocco, UK, Spain",gamechangers@morocco.com,+212 666 789 012
132,Champion Elite Sports,"Talent scouting, contract negotiations, sponsorship management","Wilfried Bony, Jean Seri","Ivory Coast, France, UK",contact@championelitesports.com,+225 20 567 2345
133,Ultimate Pro Football Agency,"Athlete representation, branding, career management","Victor Moses, Joe Aribo","Nigeria, England, Scotland",info@ultimatepro.com,+234 812 789 6543
134,Peak Performance Sports,"Sponsorship deals, media consulting, club placements","Pierre Kalulu, Amadou Onana","France, Belgium, Mali",contact@peakperformance.com,+33 675 432 0987
135,Top Africa Football Agency,"Youth scouting, sponsorship brokering, club recruitment","Patson Daka, Moses Simon","Zambia, Nigeria, Austria",info@topafricaagency.com,+260 97 111 2345
136,Prime Edge Sports,"Legal advisory, sponsorship strategy, media training","Nicolas Pepe, Bertrand Traoré","Ivory Coast, Burkina Faso, UK",primeedge@sports.com,+225 03 987 6543
137,Soccer Vision Management,"International transfers, PR management, career planning","Achraf Hakimi, Adam Ounas","Morocco, Algeria, Spain",info@soccervision.com,+212 660 765 4321
138,Excel Football Agency,"Scouting, player development, media consulting","Jean-Eudes Aholou, Kamaldeen Sulemana","Ghana, Togo, France",contact@excelfootball.com,+233 27 901 3456
139,Africa Pro Sports Management,"Talent scouting, contract support, sponsorship brokering","Edmond Tapsoba, Kalidou Koulibaly","Burkina Faso, Senegal, Belgium",africaprosports@management.com,+226 78 567 8901
140,True Stars Sports Agency,"Career mentorship, club placements, brand partnerships","Islam Slimani, Sofiane Feghouli","Algeria, Qatar, France",truestars@sports.com,+213 55 678 2345
