id,ranking,club name,country,league,stadium,formation_preference,playing_style,market_budget,salary_budget,transfer_history,avg_transfer_fee_paid,avg_contract_length,verified_status,recruitment_priority,scouting_focus,profile_rating,sponsorship_deals,social_media_links
C-11,929,Aduana Stars,Ghana,Ghana Premier League,Baba Yara Stadium,'4-2-4',Direct Play,27563000.0,11025200.0,"{""last_5_transfers"": [{""year"": 2023, ""player"": ""Player_879"", ""fee"": 2584017.97, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_723"", ""fee"": 2472855.79, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_652"", ""fee"": 2747468.13, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_716"", ""fee"": 1617733.36, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_169"", ""fee"": 3620287.81, ""type"": ""In""}], ""total_spend"": 2790891.31, ""total_income"": 1991855.36}",144829.3259135176,3 years,True,Young prospects,Local academy,7.76,"{""kit_sponsor"": ""Le Coq Sportif"", ""main_sponsor"": ""STB Bank"", ""value"": ""206880 TND"", ""duration"": ""5 years""}","{""facebook"": ""facebook.com/club_5741"", ""twitter"": ""twitter.com/club_4594"", ""instagram"": ""instagram.com/club_7484""}"
C-12,2215,Adzope,Ivory Coast,Ligue 1,Stade Olympique Alassane Ouattara,'4-1-4-1',Technical Dribbling,2842547000.0,1137018800.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_844"", ""fee"": 3436430.21, ""type"": ""In""}, {""year"": 2019, ""player"": ""Player_574"", ""fee"": 952485.89, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_384"", ""fee"": 2368497.03, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_276"", ""fee"": 1549546.3, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_80"", ""fee"": 3803876.12, ""type"": ""Out""}], ""total_spend"": 1188164.77, ""total_income"": 5364581.27}",830885.4383929165,2 years,False,Academy graduates,Young talents,7.01,"{""kit_sponsor"": ""Hummel"", ""main_sponsor"": ""Vitalait"", ""value"": ""248351 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_1604"", ""twitter"": ""twitter.com/club_9011"", ""instagram"": ""instagram.com/club_7393""}"
C-13,1234,Africa Sports National,Ivory Coast,Ligue 1,Stade Olympique Alassane Ouattara,'4-3-3',Attacking Overload,404973000.0,161989200.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_22"", ""fee"": 1076816.75, ""type"": ""In""}, {""year"": 2019, ""player"": ""Player_798"", ""fee"": 618309.18, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_208"", ""fee"": 2829365.65, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_460"", ""fee"": 4130607.93, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_32"", ""fee"": 1072710.15, ""type"": ""In""}], ""total_spend"": 2511742.03, ""total_income"": 4366138.76}",660358.7198355163,4 years,True,International players,Asian market,1.71,"{""kit_sponsor"": ""Under Armour"", ""main_sponsor"": ""TotalEnergies"", ""value"": ""158059 TND"", ""duration"": ""3 years""}","{""facebook"": ""facebook.com/club_4929"", ""twitter"": ""twitter.com/club_2310"", ""instagram"": ""instagram.com/club_8980""}"
C-14,1450,Aigle Royal,Cameroon,Elite Two,Olembe Stadium,'3-4-2-1',East African Speed,1847969000.0,739187600.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_665"", ""fee"": 926452.52, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_718"", ""fee"": 2754432.71, ""type"": ""Out""}, {""year"": 2021, ""player"": ""Player_910"", ""fee"": 2613525.29, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_999"", ""fee"": 1403520.49, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_150"", ""fee"": 414159.02, ""type"": ""Out""}], ""total_spend"": 3914172.89, ""total_income"": 7663460.21}",660666.2548415171,2 years,False,International players,Asian market,8.71,"{""kit_sponsor"": ""Joma"", ""main_sponsor"": ""Ooredoo"", ""value"": ""780730 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_9227"", ""twitter"": ""twitter.com/club_2928"", ""instagram"": ""instagram.com/club_5720""}"
C-15,2117,Ain Fakroun,Algeria,Ligue Professionnelle 1,Stade 5 Juillet 1962,'3-5-2',Possession Control,92521000.0,37008400.0,"{""last_5_transfers"": [{""year"": 2023, ""player"": ""Player_155"", ""fee"": 4703232.82, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_142"", ""fee"": 3291486.24, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_781"", ""fee"": 3269005.78, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_149"", ""fee"": 3408107.39, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_803"", ""fee"": 932413.66, ""type"": ""Out""}], ""total_spend"": 3052728.31, ""total_income"": 1313429.24}",610852.4571506106,3 years,False,Young prospects,Young talents,1.03,"{""kit_sponsor"": ""Umbro"", ""main_sponsor"": ""Nike"", ""value"": ""145553 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_3973"", ""twitter"": ""twitter.com/club_9591"", ""instagram"": ""instagram.com/club_2911""}"
C-16,1117,Ajax Cape Town,South Africa,Premier Soccer League,FNB Stadium,'5-2-3',North African Technical,13270000.0,5308000.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_771"", ""fee"": 728133.34, ""type"": ""Out""}, {""year"": 2022, ""player"": ""Player_563"", ""fee"": 720290.85, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_441"", ""fee"": 2689576.84, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_818"", ""fee"": 386786.4, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_236"", ""fee"": 1805787.3, ""type"": ""In""}], ""total_spend"": 3548658.58, ""total_income"": 2240515.81}",238532.31741967343,2 years,False,Local talent,Young talents,5.19,"{""kit_sponsor"": ""Le Coq Sportif"", ""main_sponsor"": ""Magasin G\u00e9n\u00e9ral"", ""value"": ""266758 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_4466"", ""twitter"": ""twitter.com/club_5706"", ""instagram"": ""instagram.com/club_3134""}"
C-17,1843,Akokana,Niger,Niger Premier League,Stade General Seyni Kountche,'4-1-3-2',Possession-based,2191776000.0,876710400.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_320"", ""fee"": 3822416.35, ""type"": ""Out""}, {""year"": 2021, ""player"": ""Player_50"", ""fee"": 2801351.23, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_806"", ""fee"": 3784204.66, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_31"", ""fee"": 855648.94, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_644"", ""fee"": 2016372.75, ""type"": ""Out""}], ""total_spend"": 8460413.74, ""total_income"": 7381574.33}",388378.9858353376,3 years,False,Young prospects,Young talents,1.0,"{""kit_sponsor"": ""Umbro"", ""main_sponsor"": ""Puma"", ""value"": ""243796 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_6546"", ""twitter"": ""twitter.com/club_4915"", ""instagram"": ""instagram.com/club_7580""}"
C-18,1394,Akwa Starlets,Nigeria,Nigeria Professional Football League,Moshood Abiola National Stadium,'3-4-2-1',Total Football,2135288000.0,854115200.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_960"", ""fee"": 3842429.39, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_812"", ""fee"": 2764552.1, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_93"", ""fee"": 4971355.06, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_359"", ""fee"": 3814050.8, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_510"", ""fee"": 687683.68, ""type"": ""Out""}], ""total_spend"": 5130253.54, ""total_income"": 5215268.63}",599683.1159213894,4 years,True,Proven professionals,Local academy,0.32,"{""kit_sponsor"": ""New Balance"", ""main_sponsor"": ""TotalEnergies"", ""value"": ""767783 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_1632"", ""twitter"": ""twitter.com/club_5952"", ""instagram"": ""instagram.com/club_6390""}"
C-19,530,Akwa United,Nigeria,Nigeria Professional Football League,Moshood Abiola National Stadium,'3-3-3-1',Total Football,864915000.0,345966000.0,"{""last_5_transfers"": [{""year"": 2022, ""player"": ""Player_418"", ""fee"": 4469875.67, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_61"", ""fee"": 2500796.21, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_857"", ""fee"": 475744.32, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_657"", ""fee"": 4699097.08, ""type"": ""Out""}, {""year"": 2022, ""player"": ""Player_222"", ""fee"": 4814881.68, ""type"": ""In""}], ""total_spend"": 5995869.14, ""total_income"": 6936947.61}",552569.8885360854,2 years,True,Academy graduates,African talents,0.17,"{""kit_sponsor"": ""Puma"", ""main_sponsor"": ""D\u00e9lice"", ""value"": ""136700 TND"", ""duration"": ""3 years""}","{""facebook"": ""facebook.com/club_3927"", ""twitter"": ""twitter.com/club_8097"", ""instagram"": ""instagram.com/club_8423""}"
C-20,2015,Al Ahli Khartoum,Sudan,Sudan Premier League,Al Merreikh Stadium,'3-4-2-1',Southern African Mix,2090213000.0,836085200.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_291"", ""fee"": 4343651.73, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_119"", ""fee"": 907502.16, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_517"", ""fee"": 1791997.9, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_524"", ""fee"": 3395873.32, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_989"", ""fee"": 4485961.31, ""type"": ""In""}], ""total_spend"": 1502537.02, ""total_income"": 5184454.33}",863375.7250902246,3 years,True,Proven professionals,Young talents,9.3,"{""kit_sponsor"": ""Hummel"", ""main_sponsor"": ""BMW"", ""value"": ""217033 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_3780"", ""twitter"": ""twitter.com/club_9141"", ""instagram"": ""instagram.com/club_6318""}"
C-21,1509,Al Ahli Tripoli,Libya,Libyan Premier League,11 June Stadium,'5-2-3',Physical Power Play,7226000.0,2890400.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_683"", ""fee"": 4952268.51, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_344"", ""fee"": 3377349.19, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_395"", ""fee"": 4995799.1, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_345"", ""fee"": 846188.34, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_372"", ""fee"": 2703053.42, ""type"": ""In""}], ""total_spend"": 9065970.66, ""total_income"": 6796238.28}",624912.8574364785,3 years,True,Local talent,Young talents,4.06,"{""kit_sponsor"": ""Local Brand"", ""main_sponsor"": ""Turkish Airlines"", ""value"": ""110483 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_8536"", ""twitter"": ""twitter.com/club_1947"", ""instagram"": ""instagram.com/club_1515""}"
C-22,2361,Al Ahli Wad Medani,Sudan,Sudan Premier League,Al Merreikh Stadium,'5-4-1',Technical Dribbling,481708000.0,192683200.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_450"", ""fee"": 127829.41, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_883"", ""fee"": 4171230.5, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_623"", ""fee"": 2939477.74, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_196"", ""fee"": 301904.99, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_259"", ""fee"": 891188.89, ""type"": ""Out""}], ""total_spend"": 5678182.19, ""total_income"": 4720542.75}",609684.733596099,3 years,False,Proven professionals,Under-23 talents,6.94,"{""kit_sponsor"": ""Kappa"", ""main_sponsor"": ""Al Baraka Bank"", ""value"": ""625320 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_6897"", ""twitter"": ""twitter.com/club_7684"", ""instagram"": ""instagram.com/club_6260""}"
C-23,61,Al Ahly,Egypt,Egyptian Premier League,Cairo International Stadium,'4-3-3',Southern African Mix,99826000.0,39930400.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_553"", ""fee"": 810241.94, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_937"", ""fee"": 2481624.32, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_879"", ""fee"": 2799706.23, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_706"", ""fee"": 207203.31, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_236"", ""fee"": 1404519.54, ""type"": ""In""}], ""total_spend"": 2390770.23, ""total_income"": 4774398.22}",549650.1203685896,4 years,True,Young prospects,Young talents,3.28,"{""kit_sponsor"": ""Kappa"", ""main_sponsor"": ""Soci\u00e9t\u00e9 G\u00e9n\u00e9rale"", ""value"": ""248985 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_6303"", ""twitter"": ""twitter.com/club_4908"", ""instagram"": ""instagram.com/club_6597""}"
C-24,1878,Al Ahly Benghazi,Libya,Libyan Premier League,11 June Stadium,'4-4-2',Direct Play,20710000.0,8284000.0,"{""last_5_transfers"": [{""year"": 2021, ""player"": ""Player_842"", ""fee"": 4156942.26, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_29"", ""fee"": 2712829.42, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_174"", ""fee"": 4907553.11, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_556"", ""fee"": 4415448.73, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_713"", ""fee"": 4892248.82, ""type"": ""Out""}], ""total_spend"": 6859503.11, ""total_income"": 7178809.23}",343477.2065134949,2 years,False,Academy graduates,Established professionals,5.46,"{""kit_sponsor"": ""Hummel"", ""main_sponsor"": ""D\u00e9lice"", ""value"": ""966386 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_7687"", ""twitter"": ""twitter.com/club_8119"", ""instagram"": ""instagram.com/club_3834""}"
C-25,2083,Al Ahly Merowe,Sudan,Sudan Premier League,Al Merreikh Stadium,'4-3-2-1',Possession-based,1217977000.0,487190800.0,"{""last_5_transfers"": [{""year"": 2021, ""player"": ""Player_616"", ""fee"": 4928789.7, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_146"", ""fee"": 3984699.79, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_381"", ""fee"": 1926441.06, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_31"", ""fee"": 2681103.45, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_784"", ""fee"": 2041709.98, ""type"": ""In""}], ""total_spend"": 8222515.34, ""total_income"": 7566704.67}",803639.2192786784,4 years,False,International players,Local academy,7.94,"{""kit_sponsor"": ""Umbro"", ""main_sponsor"": ""Puma"", ""value"": ""165565 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_1390"", ""twitter"": ""twitter.com/club_2011"", ""instagram"": ""instagram.com/club_6218""}"
C-26,791,Al Ahly Shendi,Sudan,Sudan Premier League,Al Merreikh Stadium,'4-4-1-1',Physical Power Play,1030629000.0,412251600.0,"{""last_5_transfers"": [{""year"": 2022, ""player"": ""Player_665"", ""fee"": 3236733.34, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_335"", ""fee"": 1637116.74, ""type"": ""In""}, {""year"": 2019, ""player"": ""Player_483"", ""fee"": 1511703.78, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_356"", ""fee"": 4862856.87, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_322"", ""fee"": 3237346.5, ""type"": ""Out""}], ""total_spend"": 3297451.46, ""total_income"": 817101.67}",738175.1592017933,4 years,False,Local talent,South American prospects,7.86,"{""kit_sponsor"": ""Macron"", ""main_sponsor"": ""Samsung"", ""value"": ""987990 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_3191"", ""twitter"": ""twitter.com/club_3815"", ""instagram"": ""instagram.com/club_7061""}"
C-27,2400,Al Amir,Sudan,Sudan Premier League,Al Merreikh Stadium,'4-2-4',High Press,1153114000.0,461245600.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_36"", ""fee"": 4826065.37, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_918"", ""fee"": 2465810.03, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_976"", ""fee"": 2555536.58, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_768"", ""fee"": 3174945.23, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_937"", ""fee"": 3779340.95, ""type"": ""In""}], ""total_spend"": 4676287.39, ""total_income"": 4610952.05}",566959.4623789216,4 years,True,Experienced players,European market,2.85,"{""kit_sponsor"": ""Puma"", ""main_sponsor"": ""Orange"", ""value"": ""585267 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_2887"", ""twitter"": ""twitter.com/club_9921"", ""instagram"": ""instagram.com/club_9447""}"
