brand_id,brand_name,sponsorship_deals,product_types,location,annual_revenue,contact_email,phone_number,website
Br-53,AY Sport,Basketball Team,Sportswear,Tanzania,$10.9B,contact@ay sport.com,748 526 171,https://www.ay sport.com
Br-54,AY Sport,National Team,Football Club,Tanzania,$47.3B,contact@ay sport.com,2 412 086 298,https://www.ay sport.com
Br-55,AY Sport,Football Club,Sportswear,Ghana,$39.0B,contact@ay sport.com,2 368 519 018,https://www.ay sport.com
Br-56,AY Sport,National Team,National Team,Tunisia,$46.7B,contact@ay sport.com,849 823 663,https://www.ay sport.com
Br-57,AY Sport,Basketball Team,National Team,Tunisia,$19.9B,contact@ay sport.com,1 165 373 266,https://www.ay sport.com
Br-58,AY Sport,Basketball Team,National Team,Egypt,$33.2B,contact@ay sport.com,2 184 771 208,https://www.ay sport.com
Br-59,AY Sport,National Team,Footwear,Algeria,$25.8B,contact@ay sport.com,2 139 237 495,https://www.ay sport.com
Br-60,AY Sport,Football Club,Basketball,Tanzania,$9.8B,contact@ay sport.com,1 485 679 331,https://www.ay sport.com
Br-61,AY Sport,Football Club,Sportswear,Uganda,$18.2B,contact@ay sport.com,558 848 245,https://www.ay sport.com
Br-62,AY Sport,Football Club,Basketball,Nigeria,$23.8B,contact@ay sport.com,1 858 276 874,https://www.ay sport.com
Br-63,AY Sport,Basketball Team,Basketball,South Africa,$44.7B,contact@ay sport.com,266 984 115,https://www.ay sport.com
Br-64,AY Sport,Football Club,National Team,Egypt,$27.0B,contact@ay sport.com,785 003 715,https://www.ay sport.com
Br-65,AY Sport,Basketball Team,Footwear,Uganda,$8.3B,contact@ay sport.com,1 611 618 311,https://www.ay sport.com
Br-66,AY Sport,National Team,Footwear,Zambia,$46.3B,contact@ay sport.com,949 911 866,https://www.ay sport.com
Br-67,AY Sport,Basketball Team,Sportswear,Egypt,$35.2B,contact@ay sport.com,283 362 785,https://www.ay sport.com
Br-68,AY Sport,Football Club,Sportswear,Kenya,$6.4B,contact@ay sport.com,2 472 486 751,https://www.ay sport.com
Br-69,AY Sport,Football Club,National Team,Tanzania,$47.8B,contact@ay sport.com,2 453 763 778,https://www.ay sport.com
Br-70,AY Sport,Basketball Team,National Team,Algeria,$11.9B,contact@ay sport.com,909 205 374,https://www.ay sport.com
Br-71,AY Sport,National Team,Basketball,Senegal,$41.9B,contact@ay sport.com,1 232 705 686,https://www.ay sport.com
Br-72,Adidas,Basketball Team,Football Club,Kenya,$36.2B,contact@adidas.com,1 868 105 204,https://www.adidas.com
Br-73,Adidas,Football Club,National Team,Egypt,$33.1B,contact@adidas.com,458 465 002,https://www.adidas.com
Br-74,Adidas,National Team,Footwear,Nigeria,$18.8B,contact@adidas.com,2 298 227 873,https://www.adidas.com
Br-75,Adidas,Football Club,Footwear,South Africa,$10.2B,contact@adidas.com,2 055 656 954,https://www.adidas.com
Br-76,Adidas,Football Club,Sportswear,Senegal,$47.6B,contact@adidas.com,363 434 421,https://www.adidas.com
Br-77,Adidas,Basketball Team,Basketball,Ghana,$42.2B,contact@adidas.com,2 312 694 151,https://www.adidas.com
Br-78,Adidas,Football Club,National Team,Tunisia,$24.2B,contact@adidas.com,1 653 814 561,https://www.adidas.com
Br-79,Adidas,National Team,Sportswear,Zambia,$27.2B,contact@adidas.com,873 334 406,https://www.adidas.com
Br-80,Adidas,Football Club,Sportswear,Kenya,$10.3B,contact@adidas.com,2 429 383 944,https://www.adidas.com
Br-81,Adidas,Football Club,National Team,Uganda,$18.7B,contact@adidas.com,1 288 338 636,https://www.adidas.com
Br-82,Adidas,Football Club,Football Club,Nigeria,$23.8B,contact@adidas.com,1 275 125 645,https://www.adidas.com
Br-83,Adidas,National Team,Sportswear,Uganda,$45.3B,contact@adidas.com,1 908 616 851,https://www.adidas.com
Br-84,Adidas,National Team,Basketball,Tunisia,$20.3B,contact@adidas.com,1 005 879 674,https://www.adidas.com
Br-85,Adidas,Football Club,Basketball,Kenya,$33.5B,contact@adidas.com,2 015 108 487,https://www.adidas.com
Br-86,Adidas,Basketball Team,Sportswear,Ghana,$7.0B,contact@adidas.com,625 485 883,https://www.adidas.com
Br-87,Adidas,Basketball Team,Footwear,Algeria,$33.3B,contact@adidas.com,332 954 885,https://www.adidas.com
Br-88,Adidas,Basketball Team,Football Club,Nigeria,$37.4B,contact@adidas.com,1 706 029 977,https://www.adidas.com
Br-89,Adidas,Basketball Team,National Team,Algeria,$11.4B,contact@adidas.com,556 354 774,https://www.adidas.com
Br-90,Adidas,Basketball Team,Sportswear,Zambia,$45.8B,contact@adidas.com,2 096 457 910,https://www.adidas.com
Br-91,Adidas,Basketball Team,Basketball,Algeria,$18.8B,contact@adidas.com,1 898 426 817,https://www.adidas.com
Br-92,Adidas,Football Club,Sportswear,Kenya,$45.7B,contact@adidas.com,2 453 706 031,https://www.adidas.com
Br-93,Adidas,National Team,Football Club,Nigeria,$33.5B,contact@adidas.com,907 349 221,https://www.adidas.com
Br-94,Adidas,Football Club,Football Club,Senegal,$33.5B,contact@adidas.com,1 443 625 156,https://www.adidas.com
Br-95,Adidas,Football Club,Footwear,Kenya,$14.1B,contact@adidas.com,2 334 098 404,https://www.adidas.com
Br-96,Adidas,Basketball Team,Sportswear,Uganda,$43.5B,contact@adidas.com,2 294 901 847,https://www.adidas.com
Br-97,Adidas,Football Club,Footwear,Kenya,$23.5B,contact@adidas.com,744 604 900,https://www.adidas.com
Br-98,Adidas,Football Club,Basketball,Senegal,$14.6B,contact@adidas.com,2 163 031 875,https://www.adidas.com
Br-99,Adidas,Basketball Team,Sportswear,South Africa,$22.7B,contact@adidas.com,1 886 459 360,https://www.adidas.com
Br-100,Adidas,Basketball Team,Sportswear,Tanzania,$41.0B,contact@adidas.com,2 141 214 883,https://www.adidas.com
Br-101,Adidas,National Team,National Team,Nigeria,$19.5B,contact@adidas.com,1 757 799 558,https://www.adidas.com
Br-102,Adidas,National Team,Footwear,Nigeria,$18.0B,contact@adidas.com,768 501 934,https://www.adidas.com
Br-103,Adidas,Football Club,Sportswear,Tanzania,$27.9B,contact@adidas.com,474 043 923,https://www.adidas.com
Br-104,Adidas,Basketball Team,Sportswear,Egypt,$15.8B,contact@adidas.com,433 756 524,https://www.adidas.com
Br-105,Adidas,Basketball Team,National Team,Egypt,$33.9B,contact@adidas.com,2 521 917 893,https://www.adidas.com
Br-106,Adidas,National Team,Sportswear,Algeria,$46.9B,contact@adidas.com,1 541 463 529,https://www.adidas.com
Br-107,Adidas,Football Club,Footwear,Algeria,$35.2B,contact@adidas.com,1 139 309 423,https://www.adidas.com
Br-108,Adidas,National Team,Football Club,South Africa,$14.6B,contact@adidas.com,2 138 277 730,https://www.adidas.com
Br-109,Adidas,Basketball Team,Football Club,Nigeria,$31.0B,contact@adidas.com,1 692 769 498,https://www.adidas.com
Br-110,Adidas,Football Club,Footwear,Ghana,$33.7B,contact@adidas.com,1 762 266 271,https://www.adidas.com
Br-111,Adidas,National Team,Sportswear,Zambia,$12.4B,contact@adidas.com,745 538 547,https://www.adidas.com
Br-112,Adidas,Basketball Team,National Team,Egypt,$8.5B,contact@adidas.com,2 179 928 511,https://www.adidas.com
Br-113,Adidas,National Team,Football Club,Tanzania,$47.7B,contact@adidas.com,1 394 737 662,https://www.adidas.com
Br-114,Adidas,Basketball Team,Basketball,Ghana,$21.1B,contact@adidas.com,1 949 081 692,https://www.adidas.com
Br-115,Adidas,National Team,Football Club,Nigeria,$5.5B,contact@adidas.com,702 116 534,https://www.adidas.com
Br-116,Adidas,Basketball Team,Sportswear,Tunisia,$8.7B,contact@adidas.com,655 058 013,https://www.adidas.com
Br-117,Adidas,Basketball Team,National Team,Tanzania,$48.7B,contact@adidas.com,2 264 047 061,https://www.adidas.com
Br-118,Adidas,National Team,Basketball,Ghana,$20.7B,contact@adidas.com,242 075 829,https://www.adidas.com
Br-119,Adidas,National Team,Football Club,Zambia,$5.6B,contact@adidas.com,872 965 826,https://www.adidas.com
Br-120,Adidas,Basketball Team,Basketball,South Africa,$32.0B,contact@adidas.com,1 914 321 799,https://www.adidas.com
Br-121,Adidas,National Team,National Team,Senegal,$34.6B,contact@adidas.com,2 296 991 934,https://www.adidas.com
Br-122,Adidas,National Team,Basketball,Egypt,$48.5B,contact@adidas.com,997 998 579,https://www.adidas.com
Br-123,Adidas,National Team,National Team,Kenya,$42.4B,contact@adidas.com,1 081 304 778,https://www.adidas.com
Br-124,Adidas,Football Club,Football Club,Zambia,$40.4B,contact@adidas.com,418 619 978,https://www.adidas.com
Br-125,Adidas,National Team,National Team,Nigeria,$45.6B,contact@adidas.com,977 518 939,https://www.adidas.com
Br-126,Adidas,National Team,Footwear,Zambia,$41.9B,contact@adidas.com,2 477 468 508,https://www.adidas.com
Br-127,Adidas,Basketball Team,National Team,Ghana,$8.5B,contact@adidas.com,604 463 598,https://www.adidas.com
Br-128,Adidas,Football Club,Footwear,Uganda,$41.8B,contact@adidas.com,1 919 529 765,https://www.adidas.com
Br-129,Adidas,Football Club,Footwear,Zambia,$27.6B,contact@adidas.com,1 462 423 888,https://www.adidas.com
Br-130,Adidas,National Team,National Team,Tunisia,$11.6B,contact@adidas.com,271 072 619,https://www.adidas.com
Br-131,Adidas,National Team,Football Club,Tunisia,$22.2B,contact@adidas.com,1 997 116 342,https://www.adidas.com
Br-132,Adidas,Football Club,Sportswear,Zambia,$29.8B,contact@adidas.com,2 533 166 455,https://www.adidas.com
Br-133,Adidas,Football Club,Sportswear,Tanzania,$15.0B,contact@adidas.com,277 661 501,https://www.adidas.com
Br-134,Adidas,National Team,Footwear,Kenya,$37.2B,contact@adidas.com,1 928 923 309,https://www.adidas.com
Br-135,Adidas,Football Club,National Team,Egypt,$48.0B,contact@adidas.com,839 185 554,https://www.adidas.com
Br-136,Adidas,Basketball Team,Sportswear,Zambia,$32.6B,contact@adidas.com,822 716 181,https://www.adidas.com
Br-137,Adidas,Basketball Team,National Team,Uganda,$27.4B,contact@adidas.com,946 699 631,https://www.adidas.com
Br-138,Adidas,Basketball Team,Football Club,Uganda,$14.7B,contact@adidas.com,2 466 166 877,https://www.adidas.com
Br-139,Adidas,Basketball Team,Sportswear,Senegal,$18.8B,contact@adidas.com,772 527 581,https://www.adidas.com
Br-140,Adidas,National Team,National Team,Algeria,$30.4B,contact@adidas.com,1 409 246 879,https://www.adidas.com
Br-141,Adidas,Basketball Team,National Team,Ghana,$13.8B,contact@adidas.com,1 113 994 747,https://www.adidas.com
Br-142,Adidas,Football Club,Sportswear,Tunisia,$12.4B,contact@adidas.com,1 764 999 396,https://www.adidas.com
Br-143,Adidas,Football Club,Footwear,Tunisia,$33.2B,contact@adidas.com,1 851 689 048,https://www.adidas.com
Br-144,Adidas,Basketball Team,National Team,Kenya,$24.2B,contact@adidas.com,548 092 893,https://www.adidas.com
Br-145,Erreà,Football Club,Sportswear,Algeria,$26.5B,contact@erreà.com,1 982 095 353,https://www.erreà.com
Br-146,Erreà,Football Club,Football Club,Zambia,$35.8B,contact@erreà.com,402 375 313,https://www.erreà.com
Br-147,Erreà,Football Club,National Team,Tunisia,$33.5B,contact@erreà.com,2 257 883 283,https://www.erreà.com
Br-148,Erreà,National Team,Footwear,Uganda,$6.7B,contact@erreà.com,1 215 036 703,https://www.erreà.com
Br-149,Erreà,Football Club,Basketball,Nigeria,$5.8B,contact@erreà.com,374 578 326,https://www.erreà.com
Br-150,Erreà,National Team,Basketball,Nigeria,$18.1B,contact@erreà.com,1 167 841 745,https://www.erreà.com
Br-151,Erreà,National Team,Footwear,Uganda,$47.1B,contact@erreà.com,2 536 054 493,https://www.erreà.com
Br-152,Erreà,National Team,Football Club,Nigeria,$32.4B,contact@erreà.com,1 821 114 408,https://www.erreà.com
Br-153,Erreà,Football Club,Football Club,Zambia,$13.7B,contact@erreà.com,2 345 804 551,https://www.erreà.com
Br-154,Erreà,Basketball Team,Sportswear,Tunisia,$37.1B,contact@erreà.com,2 092 826 130,https://www.erreà.com
Br-155,Erreà,Basketball Team,Football Club,Senegal,$13.3B,contact@erreà.com,865 084 637,https://www.erreà.com
Br-156,Erreà,National Team,Basketball,Nigeria,$41.3B,contact@erreà.com,1 312 845 798,https://www.erreà.com
Br-157,Erreà,Basketball Team,Football Club,Tunisia,$5.4B,contact@erreà.com,502 149 850,https://www.erreà.com
Br-158,Erreà,National Team,Sportswear,Senegal,$8.0B,contact@erreà.com,2 489 195 854,https://www.erreà.com
Br-159,Erreà,Football Club,Football Club,Kenya,$13.8B,contact@erreà.com,769 397 015,https://www.erreà.com
Br-160,Erreà,Basketball Team,Footwear,Senegal,$39.3B,contact@erreà.com,387 986 393,https://www.erreà.com
Br-161,Erreà,National Team,National Team,Nigeria,$20.5B,contact@erreà.com,1 095 025 572,https://www.erreà.com
Br-162,Erreà,Basketball Team,National Team,South Africa,$19.4B,contact@erreà.com,2 179 226 336,https://www.erreà.com
Br-163,Erreà,National Team,Footwear,Senegal,$6.8B,contact@erreà.com,1 438 611 889,https://www.erreà.com
Br-164,Erreà,National Team,Sportswear,Senegal,$29.5B,contact@erreà.com,1 507 802 377,https://www.erreà.com
Br-165,Erreà,Basketball Team,Sportswear,South Africa,$5.1B,contact@erreà.com,561 922 638,https://www.erreà.com
Br-166,Erreà,National Team,Basketball,Uganda,$28.6B,contact@erreà.com,1 314 236 942,https://www.erreà.com
Br-167,Erreà,Basketball Team,Footwear,Kenya,$14.7B,contact@erreà.com,1 089 359 770,https://www.erreà.com
Br-168,Erreà,Football Club,Football Club,Kenya,$14.7B,contact@erreà.com,592 823 799,https://www.erreà.com
Br-169,Erreà,National Team,Sportswear,Algeria,$35.6B,contact@erreà.com,1 199 498 348,https://www.erreà.com
Br-170,Erreà,National Team,Football Club,Ghana,$32.2B,contact@erreà.com,1 864 704 818,https://www.erreà.com
Br-171,Erreà,National Team,National Team,Tanzania,$7.4B,contact@erreà.com,772 512 214,https://www.erreà.com
Br-172,Erreà,National Team,National Team,Egypt,$24.7B,contact@erreà.com,2 183 157 480,https://www.erreà.com
Br-173,Erreà,National Team,National Team,Uganda,$7.5B,contact@erreà.com,351 782 639,https://www.erreà.com
Br-174,Erreà,National Team,Sportswear,South Africa,$48.3B,contact@erreà.com,752 973 724,https://www.erreà.com
Br-175,Erreà,Basketball Team,Sportswear,South Africa,$8.6B,contact@erreà.com,1 204 859 594,https://www.erreà.com
Br-176,Erreà,National Team,Sportswear,Nigeria,$20.1B,contact@erreà.com,912 068 703,https://www.erreà.com
Br-177,Erreà,National Team,Sportswear,Nigeria,$15.5B,contact@erreà.com,1 687 962 410,https://www.erreà.com
Br-178,Erreà,Basketball Team,Football Club,South Africa,$29.7B,contact@erreà.com,1 421 455 282,https://www.erreà.com
Br-179,Erreà,Basketball Team,Basketball,Tanzania,$34.6B,contact@erreà.com,988 875 770,https://www.erreà.com
Br-180,Erreà,Basketball Team,National Team,Ghana,$15.3B,contact@erreà.com,1 769 396 640,https://www.erreà.com
Br-181,Erreà,National Team,Football Club,Nigeria,$36.7B,contact@erreà.com,1 845 376 995,https://www.erreà.com
Br-182,Erreà,National Team,Basketball,Zambia,$33.7B,contact@erreà.com,2 225 293 942,https://www.erreà.com
Br-183,Erreà,National Team,National Team,South Africa,$32.0B,contact@erreà.com,2 276 006 146,https://www.erreà.com
Br-184,Erreà,Basketball Team,Football Club,Zambia,$19.7B,contact@erreà.com,2 552 305 102,https://www.erreà.com
Br-185,Erreà,National Team,National Team,Senegal,$42.0B,contact@erreà.com,599 563 456,https://www.erreà.com
Br-186,Erreà,Football Club,National Team,Senegal,$23.9B,contact@erreà.com,2 435 143 970,https://www.erreà.com
Br-187,Erreà,Basketball Team,Footwear,Kenya,$21.6B,contact@erreà.com,397 565 354,https://www.erreà.com
Br-188,Erreà,Basketball Team,National Team,Tunisia,$26.9B,contact@erreà.com,2 343 003 050,https://www.erreà.com
Br-189,Erreà,Basketball Team,Football Club,Kenya,$34.8B,contact@erreà.com,2 477 384 693,https://www.erreà.com
Br-190,Erreà,Basketball Team,National Team,Tanzania,$10.9B,contact@erreà.com,872 513 547,https://www.erreà.com
Br-191,Erreà,Basketball Team,National Team,Zambia,$26.7B,contact@erreà.com,795 888 324,https://www.erreà.com
Br-192,Erreà,Football Club,Basketball,Zambia,$34.6B,contact@erreà.com,1 892 804 484,https://www.erreà.com
Br-193,Erreà,National Team,National Team,Algeria,$16.5B,contact@erreà.com,437 556 519,https://www.erreà.com
Br-194,Erreà,Football Club,Footwear,Uganda,$42.9B,contact@erreà.com,1 743 248 618,https://www.erreà.com
Br-195,Erreà,National Team,National Team,Uganda,$7.9B,contact@erreà.com,922 488 823,https://www.erreà.com
Br-196,Erreà,Basketball Team,National Team,Algeria,$49.2B,contact@erreà.com,1 485 691 593,https://www.erreà.com
Br-197,Erreà,Football Club,Sportswear,Zambia,$35.0B,contact@erreà.com,1 651 486 272,https://www.erreà.com
Br-198,Erreà,Football Club,National Team,South Africa,$26.8B,contact@erreà.com,2 194 084 113,https://www.erreà.com
Br-199,Erreà,Basketball Team,Basketball,Kenya,$23.7B,contact@erreà.com,912 078 871,https://www.erreà.com
Br-200,Erreà,Football Club,Sportswear,Ghana,$44.9B,contact@erreà.com,2 006 237 340,https://www.erreà.com
Br-201,Erreà,Basketball Team,Footwear,Tanzania,$34.1B,contact@erreà.com,2 366 543 316,https://www.erreà.com
Br-202,Erreà,Basketball Team,Basketball,Zambia,$27.8B,contact@erreà.com,2 472 361 430,https://www.erreà.com
Br-203,Erreà,National Team,National Team,Nigeria,$45.3B,contact@erreà.com,899 448 033,https://www.erreà.com
Br-204,Erreà,National Team,Sportswear,Egypt,$24.1B,contact@erreà.com,2 096 714 176,https://www.erreà.com
Br-205,Erreà,National Team,Sportswear,South Africa,$16.3B,contact@erreà.com,2 269 478 998,https://www.erreà.com
Br-206,Erreà,Football Club,Basketball,Kenya,$9.9B,contact@erreà.com,773 919 836,https://www.erreà.com
Br-207,Erreà,Football Club,National Team,South Africa,$36.8B,contact@erreà.com,1 024 238 418,https://www.erreà.com
Br-208,Erreà,Basketball Team,Basketball,Nigeria,$34.6B,contact@erreà.com,1 746 948 789,https://www.erreà.com
Br-209,Erreà,Basketball Team,Footwear,Tanzania,$38.7B,contact@erreà.com,824 589 343,https://www.erreà.com
Br-210,Erreà,Football Club,Footwear,Tanzania,$13.5B,contact@erreà.com,1 673 826 177,https://www.erreà.com
Br-211,Erreà,Football Club,National Team,Uganda,$30.3B,contact@erreà.com,2 334 187 892,https://www.erreà.com
Br-212,Erreà,Basketball Team,Basketball,Zambia,$34.1B,contact@erreà.com,2 515 309 945,https://www.erreà.com
Br-213,Erreà,Football Club,Footwear,Kenya,$48.2B,contact@erreà.com,1 854 537 220,https://www.erreà.com
Br-214,Erreà,Basketball Team,National Team,Zambia,$45.1B,contact@erreà.com,1 641 804 130,https://www.erreà.com
Br-215,Erreà,National Team,Footwear,Ghana,$46.3B,contact@erreà.com,1 377 515 594,https://www.erreà.com
Br-216,Erreà,Football Club,Basketball,South Africa,$13.0B,contact@erreà.com,2 221 793 862,https://www.erreà.com
Br-217,Erreà,Football Club,Sportswear,Uganda,$27.5B,contact@erreà.com,1 527 105 260,https://www.erreà.com
Br-218,Erreà,Football Club,Footwear,Nigeria,$9.3B,contact@erreà.com,2 191 248 129,https://www.erreà.com
Br-219,Erreà,Football Club,Footwear,Kenya,$22.8B,contact@erreà.com,865 756 448,https://www.erreà.com
Br-220,Erreà,Football Club,Football Club,Senegal,$20.1B,contact@erreà.com,628 596 245,https://www.erreà.com
Br-221,Erreà,National Team,Basketball,Nigeria,$33.7B,contact@erreà.com,1 278 091 364,https://www.erreà.com
Br-222,Erreà,Football Club,National Team,Senegal,$42.0B,contact@erreà.com,1 906 754 433,https://www.erreà.com
Br-223,Erreà,Football Club,Footwear,Algeria,$25.1B,contact@erreà.com,548 689 497,https://www.erreà.com
Br-224,Erreà,Basketball Team,Footwear,Tanzania,$17.3B,contact@erreà.com,1 718 634 029,https://www.erreà.com
Br-225,Erreà,Basketball Team,Footwear,Zambia,$6.8B,contact@erreà.com,2 233 925 335,https://www.erreà.com
Br-226,Erreà,Football Club,Sportswear,Zambia,$31.6B,contact@erreà.com,231 673 491,https://www.erreà.com
Br-227,Erreà,Football Club,Football Club,Ghana,$42.8B,contact@erreà.com,1 336 917 174,https://www.erreà.com
Br-228,Erreà,National Team,National Team,Kenya,$5.3B,contact@erreà.com,1 998 548 113,https://www.erreà.com
Br-229,Erreà,National Team,Basketball,Kenya,$40.6B,contact@erreà.com,2 451 918 706,https://www.erreà.com
Br-230,Erreà,Football Club,Basketball,Egypt,$20.3B,contact@erreà.com,1 221 495 835,https://www.erreà.com
Br-231,Erreà,National Team,Footwear,Egypt,$23.6B,contact@erreà.com,1 321 793 209,https://www.erreà.com
Br-232,Erreà,Basketball Team,Footwear,Tunisia,$45.8B,contact@erreà.com,471 577 466,https://www.erreà.com
Br-233,Erreà,Basketball Team,Basketball,Nigeria,$45.1B,contact@erreà.com,1 873 892 103,https://www.erreà.com
Br-234,Erreà,Basketball Team,Sportswear,South Africa,$16.5B,contact@erreà.com,1 459 736 604,https://www.erreà.com
Br-235,Erreà,Football Club,Basketball,Senegal,$17.8B,contact@erreà.com,2 294 283 671,https://www.erreà.com
Br-236,Kappa,Basketball Team,Basketball,Tanzania,$18.9B,contact@kappa.com,677 784 334,https://www.kappa.com
